playerID,awardCount,homeRunsPerYear,yearsPlayed,runsAllowed,yearsRetired,totalGames,managersWins,class
aardsda01,0,0.0000,11.3863,169,7.2932,331,0,FALSE
aaronha01,16,96.6635,22.4904,0,46.2055,3298,0,TRUE
aaronto01,0,10.7726,9.4685,0,51.2301,437,0,FALSE
aasedo01,0,0.0000,13.1973,503,32.1973,448,0,FALSE
abadan01,0,0.2178,4.5918,0,16.6603,15,0,FALSE
abadfe01,0,0.0000,9.1753,143,3.1918,384,0,FALSE
abadijo01,0,32.4412,0.1233,0,147.5890,12,0,FALSE
abbated01,0,27.2331,13.0356,0,112.3014,855,0,FALSE
abbeybe01,0,4.9071,4.2795,442,126.2849,79,0,FALSE
abbeych01,0,76.5395,4.0110,3,125.3808,452,0,FALSE
abbotco01,0,0.0000,0.3260,0,1.1781,0,0,FALSE
abbotda01,0,0.0000,0.0932,14,132.6274,3,0,FALSE
abbotfr01,0,19.9319,2.4082,0,117.2904,160,0,FALSE
abbotgl01,0,0.0000,11.0356,707,38.3534,248,0,FALSE
abbotje01,0,19.0397,4.3068,0,21.2000,233,0,FALSE
abbotji01,2,0.0000,10.2904,880,23.3945,263,0,TRUE
abbotku01,0,35.9083,7.6027,0,21.6630,702,0,FALSE
abbotky01,0,0.4033,4.9589,112,26.3014,57,0,FALSE
abbotod01,0,20.8551,0.0959,0,112.2192,22,0,FALSE
abbotpa01,0,0.1431,13.9726,421,18.3425,162,0,FALSE
aberal01,0,0.7148,6.9945,205,65.2795,168,0,FALSE
abercda01,0,0.0000,0.0000,0,151.2274,1,0,FALSE
abercre01,0,26.1286,2.4877,0,14.1973,180,0,FALSE
abernbi01,0,0.0000,0.0000,3,70.2384,1,0,FALSE
abernbr01,0,22.7390,4.2658,0,17.1973,232,0,FALSE
abernte01,0,0.0000,1.6110,26,78.6575,7,0,FALSE
abernte02,2,0.6865,17.4795,513,50.2164,681,0,FALSE
abernwo01,0,0.0000,0.7205,19,75.6904,16,0,FALSE
aberscl01,0,13.8045,1.8110,0,73.6274,63,0,FALSE
ablesha01,0,0.0000,5.6740,51,111.6658,14,0,FALSE
abnersh01,0,17.5404,5.0740,0,30.1945,392,0,FALSE
abramca01,0,36.4007,7.0603,0,66.6219,567,0,FALSE
abramge01,0,0.0000,0.0411,5,99.6603,3,0,FALSE
abregjo01,0,0.0000,0.0795,18,37.2000,6,0,FALSE
abreual01,0,0.0000,1.1479,0,1.1808,0,0,FALSE
abreubo01,2,80.3433,18.0849,0,8.1945,2425,0,FALSE
abreubr01,0,0.0000,0.1644,1,3.1890,7,0,FALSE
abreujo01,0,18.4843,0.2164,0,80.4603,9,0,FALSE
abreujo02,2,87.7958,5.5014,0,3.1890,901,0,FALSE
abreuju01,0,0.0000,0.0795,2,11.2000,7,0,FALSE
abreuto01,0,8.4852,7.1890,0,8.3644,224,0,FALSE
