playerId,awardCount,homeRuns,totalGames,oba,era,slg,obp,allStar,yearsPlayed,finalGame,completeGames,zr,class
aaronha01,16,755,3298,999,999,0.5545,0.37394921,24,22.4904,1976-10-03,0,0,TRUE
abbotji01,2,0,263,0.2803636363636364,4.496363636363636,0.0952,0.09522812,0,10.2904,1999-07-21,31,0,FALSE
adamsba01,2,3,482,0.25666666666666665,3.7336842105263157,0.2807,0.25163040,0,20.3288,1926-08-11,206,0,FALSE
adamsbo03,0,37,1281,999,999,0.3680,0.33918318,0,13.0247,1959-04-22,0,0,FALSE
adamssp01,0,9,1424,999,999,0.3527,0.34266311,0,12.0411,1934-09-30,0,0,FALSE
ageeto01,3,130,1129,999,999,0.4123,0.31954471,2,11.0521,1973-09-30,0,0,FALSE
aguilri01,0,3,737,0.24357894736842112,3.496315789473685,0.2878,0.23448556,3,15.2466,2000-09-06,10,0,FALSE
akerja01,1,0,496,0.25357142857142856,3.8542857142857145,0.0978,0.09573739,0,10.4082,1974-09-27,0,0,FALSE
alexado01,0,0,562,0.26113043478260867,3.854782608695652,0.1962,0.19494333,0,18.2685,1989-09-27,98,0,FALSE
alexape01,21,11,703,0.2538095238095238,2.972380952380953,0.2746,0.24192684,0,19.1315,1930-05-28,437,0,TRUE
allenbe01,0,73,1139,999,999,0.3572,0.31402987,0,11.4521,1973-09-19,0,0,FALSE
allendi01,5,351,1749,999,999,0.5336,0.37806726,6,13.8027,1977-06-19,0,0,FALSE
allenjo02,4,4,365,0.24466666666666667,3.765333333333333,0.2151,0.20961362,1,12.4466,1944-09-26,109,0,FALSE
alleyge01,4,55,1195,999,999,0.3545,0.31010282,1,10.0712,1973-09-27,0,0,FALSE
allisdo01,0,2,345,999,1.8,0.3213,0.28371740,0,12.1973,1883-07-13,0,0,FALSE
alomaro01,21,210,2379,999,999,0.4429,0.37124462,12,16.3836,2004-09-05,0,0,TRUE
alomasa02,3,112,1377,999,999,0.4064,0.30911340,6,19.0110,2007-09-30,0,0,FALSE
aloufe01,1,206,2082,999,999,0.4328,0.32774593,2,15.8877,1974-04-24,0,0,FALSE
alouje01,0,32,1380,999,999,0.3530,0.30531657,0,16.0630,1979-09-29,0,0,FALSE
alouma01,1,31,1667,0.33,0,0.3811,0.34452539,2,13.7425,1974-06-21,0,0,FALSE
aloumo01,5,332,1942,999,999,0.5157,0.36930677,6,17.8877,2008-06-10,0,0,FALSE
alstowa01,0,0,1,999,999,0.0000,0.00000000,0,0.0000,1936-09-27,0,0,TRUE
altroni01,0,2,230,0.4757142857142857,4.4282352941176475,0.2073,0.23220254,0,35.2384,1933-10-01,128,0,FALSE
anderbr01,0,210,1834,999,999,0.4251,0.36212971,3,14.1342,2002-05-20,0,0,FALSE
anderga01,5,287,2228,999,999,0.4611,0.32365783,3,16.0384,2010-08-06,0,0,FALSE
andersp01,0,0,152,999,999,0.2495,0.28160920,0,0.4658,1959-09-27,0,0,TRUE
ansonca01,0,97,2593,999,9,0.4466,0.39648486,0,26.4301,1897-10-03,0,0,TRUE
aparilu01,15,83,2601,999,999,0.3425,0.31077785,10,17.4603,1973-09-28,0,0,TRUE
appieke01,0,0,414,0.26594444444444443,4.9399999999999995,0.0964,0.11765453,1,14.8959,2004-04-23,34,0,FALSE
applilu01,10,45,2422,999,999,0.3984,0.39944931,4,20.0712,1950-10-01,0,0,TRUE
archeji01,9,16,847,999,999,0.3333,0.28791672,0,13.9973,1918-09-02,0,0,FALSE
ashburi01,0,29,2189,999,999,0.3821,0.39591121,4,14.4548,1962-09-30,0,0,TRUE
aurilri01,2,186,1652,999,999,0.4333,0.32842038,1,14.0877,2009-10-04,0,0,FALSE
ausmubr01,3,80,1971,999,999,0.3435,0.32511760,1,17.1945,2010-10-03,0,0,FALSE
austiji01,0,13,1580,999,999,0.3142,0.32602925,0,20.4795,1929-10-06,0,0,FALSE
averiea01,11,238,1668,999,999,0.5336,0.39469271,5,12.0329,1941-04-25,0,0,TRUE
baergca01,4,134,1630,999,999,0.4225,0.33174306,3,15.4740,2005-09-30,0,0,FALSE
